"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2404","get started link","chromium","Sun Nov 17 23:56:02 IST 2024","passed","Sun Nov 17 23:56:04 IST 2024","","example.spec.js","",""
"","1981","has title","chromium","Sun Nov 17 23:56:02 IST 2024","passed","Sun Nov 17 23:56:04 IST 2024","","example.spec.js","",""
